instant,date,season,year,month,hour,holiday,weekday,workingday,weather_condition,temp,atemp,humidity,windspeed,casual,registered,total_rentals,time_group
1,2011-01-01,Spring,2011,1,0,0,6,0,Clear,0.24,0.2879,0.81,0.0,3,13,16,Midnight
2,2011-01-01,Spring,2011,1,1,0,6,0,Clear,0.22,0.2727,0.8,0.0,8,32,40,Midnight
3,2011-01-01,Spring,2011,1,2,0,6,0,Clear,0.22,0.2727,0.8,0.0,5,27,32,Midnight
4,2011-01-01,Spring,2011,1,3,0,6,0,Clear,0.24,0.2879,0.75,0.0,3,10,13,Midnight
5,2011-01-01,Spring,2011,1,4,0,6,0,Clear,0.24,0.2879,0.75,0.0,0,1,1,Midnight
6,2011-01-01,Spring,2011,1,5,0,6,0,Mist,0.24,0.2576,0.75,0.0896,0,1,1,Midnight
7,2011-01-01,Spring,2011,1,6,0,6,0,Clear,0.22,0.2727,0.8,0.0,2,0,2,Morning Rush
8,2011-01-01,Spring,2011,1,7,0,6,0,Clear,0.2,0.2576,0.86,0.0,1,2,3,Morning Rush
9,2011-01-01,Spring,2011,1,8,0,6,0,Clear,0.24,0.2879,0.75,0.0,1,7,8,Morning Rush
10,2011-01-01,Spring,2011,1,9,0,6,0,Clear,0.32,0.3485,0.76,0.0,8,6,14,Morning Rush
11,2011-01-01,Spring,2011,1,10,0,6,0,Clear,0.38,0.3939,0.76,0.2537,12,24,36,Midday
12,2011-01-01,Spring,2011,1,11,0,6,0,Clear,0.36,0.3333,0.81,0.2836,26,30,56,Midday
13,2011-01-01,Spring,2011,1,12,0,6,0,Clear,0.42,0.4242,0.77,0.2836,29,55,84,Midday
14,2011-01-01,Spring,2011,1,13,0,6,0,Mist,0.46,0.4545,0.72,0.2985,47,47,94,Midday
15,2011-01-01,Spring,2011,1,14,0,6,0,Mist,0.46,0.4545,0.72,0.2836,35,71,106,Midday
16,2011-01-01,Spring,2011,1,15,0,6,0,Mist,0.44,0.4394,0.77,0.2985,40,70,110,Midday
17,2011-01-01,Spring,2011,1,16,0,6,0,Mist,0.42,0.4242,0.82,0.2985,41,52,93,Evening Rush
18,2011-01-01,Spring,2011,1,17,0,6,0,Mist,0.44,0.4394,0.82,0.2836,15,52,67,Evening Rush
19,2011-01-01,Spring,2011,1,18,0,6,0,Light Rain,0.42,0.4242,0.88,0.2537,9,26,35,Evening Rush
20,2011-01-01,Spring,2011,1,19,0,6,0,Light Rain,0.42,0.4242,0.88,0.2537,6,31,37,Evening Rush
21,2011-01-01,Spring,2011,1,20,0,6,0,Mist,0.4,0.4091,0.87,0.2537,11,25,36,Midnight
22,2011-01-01,Spring,2011,1,21,0,6,0,Mist,0.4,0.4091,0.87,0.194,3,31,34,Midnight
23,2011-01-01,Spring,2011,1,22,0,6,0,Mist,0.4,0.4091,0.94,0.2239,11,17,28,Midnight
24,2011-01-01,Spring,2011,1,23,0,6,0,Mist,0.46,0.4545,0.88,0.2985,15,24,39,Midnight
25,2011-01-02,Spring,2011,1,0,0,0,0,Mist,0.46,0.4545,0.88,0.2985,4,13,17,Midnight
26,2011-01-02,Spring,2011,1,1,0,0,0,Mist,0.44,0.4394,0.94,0.2537,1,16,17,Midnight
27,2011-01-02,Spring,2011,1,2,0,0,0,Mist,0.42,0.4242,1.0,0.2836,1,8,9,Midnight
28,2011-01-02,Spring,2011,1,3,0,0,0,Mist,0.46,0.4545,0.94,0.194,2,4,6,Midnight
29,2011-01-02,Spring,2011,1,4,0,0,0,Mist,0.46,0.4545,0.94,0.194,2,1,3,Midnight
30,2011-01-02,Spring,2011,1,6,0,0,0,Light Rain,0.42,0.4242,0.77,0.2985,0,2,2,Morning Rush
31,2011-01-02,Spring,2011,1,7,0,0,0,Mist,0.4,0.4091,0.76,0.194,0,1,1,Morning Rush
32,2011-01-02,Spring,2011,1,8,0,0,0,Light Rain,0.4,0.4091,0.71,0.2239,0,8,8,Morning Rush
33,2011-01-02,Spring,2011,1,9,0,0,0,Mist,0.38,0.3939,0.76,0.2239,1,19,20,Morning Rush
34,2011-01-02,Spring,2011,1,10,0,0,0,Mist,0.36,0.3485,0.81,0.2239,7,46,53,Midday
35,2011-01-02,Spring,2011,1,11,0,0,0,Mist,0.36,0.3333,0.71,0.2537,16,54,70,Midday
36,2011-01-02,Spring,2011,1,12,0,0,0,Mist,0.36,0.3333,0.66,0.2985,20,73,93,Midday
37,2011-01-02,Spring,2011,1,13,0,0,0,Mist,0.36,0.3485,0.66,0.1343,11,64,75,Midday
38,2011-01-02,Spring,2011,1,14,0,0,0,Light Rain,0.36,0.3485,0.76,0.194,4,55,59,Midday
39,2011-01-02,Spring,2011,1,15,0,0,0,Light Rain,0.34,0.3333,0.81,0.1642,19,55,74,Midday
40,2011-01-02,Spring,2011,1,16,0,0,0,Light Rain,0.34,0.3333,0.71,0.1642,9,67,76,Evening Rush
41,2011-01-02,Spring,2011,1,17,0,0,0,Clear,0.34,0.3333,0.57,0.194,7,58,65,Evening Rush
42,2011-01-02,Spring,2011,1,18,0,0,0,Mist,0.36,0.3333,0.46,0.3284,10,43,53,Evening Rush
43,2011-01-02,Spring,2011,1,19,0,0,0,Clear,0.32,0.2879,0.42,0.4478,1,29,30,Evening Rush
44,2011-01-02,Spring,2011,1,20,0,0,0,Clear,0.3,0.2727,0.39,0.3582,5,17,22,Midnight
45,2011-01-02,Spring,2011,1,21,0,0,0,Clear,0.26,0.2273,0.44,0.3284,11,20,31,Midnight
46,2011-01-02,Spring,2011,1,22,0,0,0,Clear,0.24,0.2121,0.44,0.2985,0,9,9,Midnight
47,2011-01-02,Spring,2011,1,23,0,0,0,Clear,0.22,0.2273,0.47,0.1642,0,8,8,Midnight
48,2011-01-03,Spring,2011,1,0,0,1,1,Clear,0.22,0.197,0.44,0.3582,0,5,5,Midnight
49,2011-01-03,Spring,2011,1,1,0,1,1,Clear,0.2,0.1667,0.44,0.4179,0,2,2,Midnight
50,2011-01-03,Spring,2011,1,4,0,1,1,Clear,0.16,0.1364,0.47,0.3881,0,1,1,Midnight
51,2011-01-03,Spring,2011,1,5,0,1,1,Clear,0.16,0.1364,0.47,0.2836,0,3,3,Midnight
52,2011-01-03,Spring,2011,1,6,0,1,1,Clear,0.14,0.1061,0.5,0.3881,0,30,30,Morning Rush
53,2011-01-03,Spring,2011,1,7,0,1,1,Clear,0.14,0.1364,0.5,0.194,1,63,64,Morning Rush
54,2011-01-03,Spring,2011,1,8,0,1,1,Clear,0.14,0.1212,0.5,0.2836,1,153,154,Morning Rush
55,2011-01-03,Spring,2011,1,9,0,1,1,Clear,0.16,0.1364,0.43,0.3881,7,81,88,Morning Rush
56,2011-01-03,Spring,2011,1,10,0,1,1,Clear,0.18,0.1667,0.43,0.2537,11,33,44,Midday
57,2011-01-03,Spring,2011,1,11,0,1,1,Clear,0.2,0.1818,0.4,0.3284,10,41,51,Midday
58,2011-01-03,Spring,2011,1,12,0,1,1,Clear,0.22,0.2121,0.35,0.2985,13,48,61,Midday
59,2011-01-03,Spring,2011,1,13,0,1,1,Clear,0.24,0.2121,0.35,0.2836,8,53,61,Midday
60,2011-01-03,Spring,2011,1,14,0,1,1,Clear,0.26,0.2424,0.3,0.2836,11,66,77,Midday
61,2011-01-03,Spring,2011,1,15,0,1,1,Clear,0.26,0.2424,0.3,0.2537,14,58,72,Midday
62,2011-01-03,Spring,2011,1,16,0,1,1,Clear,0.26,0.2424,0.3,0.2537,9,67,76,Evening Rush
